"id","year","area","nb.reloc"
"car040","2005",4229.50435546875,72
"car041","2005",1708.33808557129,72
"car042","2005",3017.61544821777,76
"car040","2006",1096.95215541992,74
"car042","2006",2418.1627861084,71
"car046","2006",3651.31350336914,78
"car068","2007",4575.56035124512,201
"car069","2007",5458.54540637207,199
"car070","2007",3811.03764157715,234
"car071","2007",2751.70222253418,208
"car074","2007",5120.47931657715,205
"car075","2007",3986.34247700195,184
"car068","2008",2371.22368608398,180
"car069","2008",4945.72999174805,215
"car070","2008",2352.68039836426,239
"car071","2008",1651.89590559082,194
"car074","2008",2949.32780031738,228
"car075","2008",1494.64679956055,208
"car110","2009",3943.67312607422,167
"car111","2009",1510.61858701172,206
"car112","2009",4063.81507092285,87
"car113","2009",1468.35765007324,215
"car114","2009",1650.0641651123,205
"car110","2010",3526.79293701172,132
"car111","2010",1546.96727961426,139
"car113","2010",2670.40628188477,171
"car114","2010",6872.0969498291,175
"car125","2010",3206.53498903809,195
"car141","2011",1989.37725285645,213
"car142","2011",4678.21451337891,215
"car143","2011",3102.52105300293,198
"car146","2011",2187.03346083984,191
"car152","2011",3424.3126034668,209
"car142","2012",495.813527929687,108
"car143","2012",4109.62963637695,209
"car146","2012",4812.66964294434,200
"car158","2012",2168.95768989258,212
"car143","2013",1722.21175390625,204
"car146","2013",1976.9107963623,191
"car158","2013",3605.56386782227,203
"car163","2013",1268.42334284668,101
"car166","2013",2107.66834538574,111
"car143","2014",1126.8679345459,203
"car163","2014",3255.10038591309,127
"car166","2014",1092.93807919922,127
"car163","2015",2175.56253754883,185
"car166","2015",967.440410546875,72
"car175","2015",876.776427026367,44
"car181","2015",1421.76200410156,55
"car182","2015",1783.10521396484,51
"car183","2015",677.254876293945,8
"car188","2015",2476.15513256836,41
"car189","2015",4175.76453757324,44
"car190","2015",1682.84146989746,47
"car175","2016",1769.49810998535,22
"car181","2016",546.251597998047,48
"car182","2016",442.626737963867,44
"car188","2016",1228.67704213867,40
"car189","2016",1318.6660526123,46
"car190","2016",1910.26384387207,37
"car194","2016",844.513066088867,49
"car195","2016",999.817240649414,42
"car196","2016",1760.87370986328,51
"car175","2017",1563.21775524902,43
"car181","2017",2086.52810249023,54
"car182","2017",1658.72594533691,55
"car188","2017",715.965829663086,39
"car189","2017",827.970901953125,35
"car190","2017",2729.19436193848,58
"car194","2017",728.990463598633,40
"car195","2017",1800.67042414551,47
"car196","2017",2648.12016157227,50
"car205","2017",1055.36050478516,44
"car206","2017",1168.01959233398,42
"car181","2018",824.510421655273,37
"car182","2018",1357.80171066895,25
"car188","2018",612.803910083008,21
"car189","2018",1583.43119255371,24
"car190","2018",1015.73610527344,23
"car194","2018",3356.95921928711,46
"car195","2018",3848.5521314209,46
"car196","2018",2689.6512628418,45
"car205","2018",942.903519067383,24
"car206","2018",2216.34675429688,40
"car213","2018",809.471620703125,21
"car214","2018",2190.67712045898,30
"car215","2018",2544.6961954834,24
"car216","2018",886.129099145508,33
"car217","2018",1661.16032893066,35
"18-13983","2019",3864.10653947754,106
"18-13990","2019",4454.34097382813,76
"car205","2019",3861.29998754883,29
"car206","2019",497.65382565918,22
"car213","2019",777.567241357422,21
"car217","2019",2036.62677468262,42
"18-13983","2020",3321.6833010498,105
"19-1756","2020",2413.47557949219,84
"19-1758","2020",3472.30484570313,85
"19-1762","2020",3881.53865146484,85
"car190","2020",2910.45321162109,83
"car194","2020",1962.79582397461,93
"car196","2020",4952.21547841797,99
"car213","2020",1136.43176516113,19
"car217","2020",186.075249414063,13
